"","X","tracer","proj_num_vox","proj_vox_oob","proj_vox_vent","inj_num_vox","inj_vox_oob","inj_vox_vent"
"351","result.351",120811946,410024,4071,604,3630,0,0
"352","result.352",175158844,153295,471,1091,2388,0,0
"353","result.353",121509005,147927,1367,214,2881,11,0
"354","result.354",114755811,319613,5280,1100,2502,0,0
"355","result.355",156979988,442131,14131,943,4433,0,0
"356","result.356",127085717,61876,6657,459,1378,0,11
"357","result.357",127469566,471148,11891,790,3538,0,0
"358","result.358",268415561,191353,2718,284,6864,0,0
"359","result.359",277618762,417696,13681,1082,6799,2,0
"360","result.360",142655513,266577,1877,902,2293,0,0
"361","result.361",158434409,204308,3455,869,2194,0,0
"362","result.362",158435826,651793,12133,2674,7128,0,2
"363","result.363",147706228,453189,14521,731,8751,0,0
"364","result.364",272826010,178407,1864,354,3086,0,0
"365","result.365",121145045,353038,4502,717,4039,0,0
"366","result.366",147135812,643943,10423,2006,4726,0,0
"367","result.367",156929391,658744,10530,3331,4786,0,0
"368","result.368",127223428,254929,6193,332,6092,0,0
"369","result.369",156930126,451031,9022,602,9978,0,0
"370","result.370",272700063,130343,10981,212,4404,0,0
"371","result.371",272825299,125316,32880,878,1092,0,0
"372","result.372",114400640,41281,5532,86,108,30,0
"373","result.373",159648854,281577,25411,2325,1129,103,0
"374","result.374",114402050,114311,9467,1952,1211,84,0
"375","result.375",146856593,61123,3182,98,276,0,0
"376","result.376",147215105,177825,4481,191,2128,167,0
"377","result.377",126352744,146524,4937,359,2674,73,0
"378","result.378",272738620,261542,5473,138,1764,0,0
"379","result.379",147214398,178072,2667,205,4543,0,0
"380","result.380",125437921,243380,11082,524,2216,0,0
"381","result.381",126843905,74690,2568,65,1809,0,0
"382","result.382",147159899,421481,18346,1003,6801,0,0
"383","result.383",122640358,106745,3572,10,918,200,0
"384","result.384",126188607,232107,16845,673,4512,0,0
"385","result.385",126709328,319323,6803,513,6331,0,0
"386","result.386",126710034,483006,17448,1318,4842,0,0
"387","result.387",127041126,279821,7096,289,7393,0,0
"388","result.388",127353220,100531,3016,63,1934,0,0
"389","result.389",147790181,50498,13275,246,932,29,0
"390","result.390",127041832,339727,9594,461,3837,0,0
"391","result.391",159024474,799255,23108,1469,11152,0,0
"392","result.392",112826458,356986,3594,281,3096,0,0
"393","result.393",126189322,355239,4477,313,4359,0,0
"394","result.394",147354951,309361,14497,1050,4897,0,0
"395","result.395",127042540,421877,9247,731,4892,47,0
"396","result.396",127349111,73105,14990,222,1353,0,0
"397","result.397",159021559,784165,12566,1232,10702,181,0
"398","result.398",175142304,878248,19615,1988,10513,153,0
"399","result.399",181058463,898922,14598,2219,8407,201,0
"400","result.400",273068974,37679,5167,752,2118,45,0
"401","result.401",121146455,285152,5543,1562,2830,0,0
"402","result.402",277618054,41108,4724,270,1019,0,0
"403","result.403",126351299,35855,1577,52,431,0,0
"404","result.404",128056535,150601,20285,1048,1998,0,13
"405","result.405",129567943,180753,1931,612,2854,0,0
"406","result.406",146794439,400844,19402,1768,1679,0,0
"407","result.407",127350480,132858,9173,948,3821,157,6
"408","result.408",127908173,303891,1447,1549,3590,0,51
"409","result.409",119848249,30167,2149,398,1998,0,0
"410","result.410",127398177,14063,1764,145,935,0,0
"411","result.411",146012184,17509,8119,206,150,0,12
"412","result.412",147134401,44003,12945,873,1362,0,18
"413","result.413",112424102,30024,5305,45,701,0,0
"414","result.414",114473794,23195,2101,130,1331,0,0
"415","result.415",125831616,19968,2215,43,1611,63,0
"416","result.416",120874405,98118,3134,484,850,0,7
"417","result.417",112460257,10318,2319,50,222,0,0
"418","result.418",113936696,45701,7390,922,2530,0,0
"419","result.419",112827872,37883,10353,197,3257,0,0
"420","result.420",142654808,19521,1828,144,3958,14,0
"421","result.421",125801739,26910,7221,575,1960,410,0
"422","result.422",119847544,57240,2876,227,716,1,0
"423","result.423",120438416,27614,1619,367,1434,0,0
"424","result.424",158738894,20947,3836,389,227,0,0
"425","result.425",127650431,206854,4539,1307,2342,0,10
"426","result.426",120493315,72483,574,32,764,0,0
"427","result.427",268389532,290755,33545,2029,1882,0,104
"428","result.1",584903636,569268,11669,131,3088,0,0
"429","result.2",585025284,462944,6011,318,1719,0,0
"430","result.3",585026021,346463,10367,2416,2617,234,0
"431","result.4",585051446,382702,18624,2096,2320,100,0
"432","result.5",626107114,191161,7763,2029,2840,54,0
"433","result.6",638314843,99263,12837,1114,6283,6,0
"434","result.7",640081415,690265,21273,3725,1997,0,0
"435","result.8",640282128,172630,6032,99,4390,0,0
"436","result.9",640285199,122487,22008,1077,398,0,0
"437","result.10",642967852,781086,8069,3722,1611,0,0
